Title,Year,Summary,"Short Summary",Genres,"IMDB ID",Runtime,"YouTube Trailer",Rating,"Movie Poster",Director,Writers,Cast
"Forever My Girl",2018,"After being gone for a decade a country star returns home to the love he left behind.","After being gone for a decade a country star returns home to the love he left behind.",Drama|Music|Romance,tt4103724,108,3vqcMr1q5Uc,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Forever-My-Girl-Movie-Poster.jpg,"Bethany Ashton Wolf","Bethany Ashton Wolf","Abby Ryder Fortson|Alex Roe|Jessica Rothe"
"Tom Segura: Disgraceful",2018,"Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.","Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.",Comedy|Documentary,tt7379330,0,kYYINJM3lPA,7.5,https://hydramovies.com/wp-content/uploads/2018/04/Tom-Segura-Disgraceful-Movie-Poster.jpg,"Jay Karas","Tom Segura","Tom Segura"
"The Secret Rules of Modern Living: Algorithms",2015,"Professor Marcus du Sautoy demystifies the hidden world of algorithms and reveals where these 2,000-year-old problem solvers came from, how they work, and what they have achieved.","Professor Marcus du Sautoy demystifies the hidden world of algorithms and reveals where these 2,000-year-old problem solvers came from, how they work, and what they have achieved.",Documentary,tt5818010,58,hpyxmT6KSvw,7.5,https://hydramovies.com/wp-content/uploads/2018/04/The-Secret-Rules-of-Modern-Living-Algorithms-Movie-Poster.jpg,"David Briggs","Marcus du Sautoy",
"Secrets in the Fall",2015,"Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble when a young camper goes missing and the rest of the group must set out to find him. The campers are forced to overcome their differences and band together to re-claim their weekend and make it out of the woods before dark!","Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble ...",Family,tt2522908,0,eMVw1pHVMAw,7.3,https://hydramovies.com/wp-content/uploads/2018/04/Secrets-in-the-Fall-Movie-Poster.jpg,"Brittany Goodwin","Brittany Goodwin","Hollie Shay|Kyle Kupecky|Vincent Seidle"
"Silent Night",2017,"Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.","Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.",Comedy|Drama,tt7133554,100,cA6BUYVkQoE,7.5,https://hydramovies.com/wp-content/uploads/2018/04/Silent-Night-Movie-Poster.jpg,"Piotr Domalewski","Piotr Domalewski","Agnieszka Suchora|Dawid Ogrodnik|Tomasz Zietek"
"Suicide Squad: Hell to Pay",2018,"Task Force X targets a powerful mystical object that they will risk their lives to steal.","Task Force X targets a powerful mystical object that they will risk their lives to steal.",Action|Animation,tt7167602,86,EPZZvk-wbGE,7.2,https://hydramovies.com/wp-content/uploads/2018/04/Suicide-Squad-Hell-to-Pay-Movie-Poster.jpg,"Sam Liu","Alan Burnett","Christian Slater|Vanessa Williams"
Wildling,2018,"Anna spends her entire childhood under the care of a mysterious man she only knows as Daddy. He keeps her locked in an attic making her fear the Wildling, a child-eating monster that roams the outside. At age 16, Anna is freed by small-town sheriff Ellen Cooper who helps her start a new life as a normal teenager. But as Anna's body begins to blossom, her childhood nightmares return with a vengeance, leading to the conclusion of a terrifying secret.","A blossoming teenager uncovers the dark secret behind her traumatic childhood.",Fantasy|Horror,tt5085924,92,eyl1Wf90AgY,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Wildling-Movie-Poster.jpg,"Fritz Böhm","Fritz Böhm","Bel Powley|Brad Dourif|Liv Tyler"
"The Humanity Bureau",2017,"A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.","A dystopian thriller set in the year 2030 that sees the world in a permanent state of economic recession and facing serious environmental problems as a result of global warming.",Action|Sci-Fi,tt6143568,95,kUH8JGhRzPY,6.1,https://hydramovies.com/wp-content/uploads/2018/04/The-Humanity-Bureau-Movie-Poster.jpg,"Rob W. King","Dave Schultz","Jakob Davies|Nicolas Cage|Sarah Lind"
"Farewell Ferris Wheel",2016,"Farewell, Ferris Wheel examines the link between America's carnival industry and a small Mexican town that legally provides one third of the carnival's labor. However, increased regulations are compromising this longstanding connection, putting both the industry and its workers in jeopardy.","Farewell Ferris Wheel explores how the U.S. Carnival industry fights to keep itself alive by legally employing Mexican migrant workers with the controversial H-2B guestworker visa.",Documentary|Drama|News,tt2349677,72,-K2m6AKNB-g,7.4,https://hydramovies.com/wp-content/uploads/2018/04/Farewell-Ferris-Wheel-Movie-Poster.jpg,"Miguel 'M.i.G.' Martinez","Miguel 'M.i.G.' Martinez",
"Don't Talk to Irene",2017,"Irene must endure 2 weeks of community service at a retirement home. Following her passion for cheerleading, she secretly signs up the senior residents to audition for a dance-themed reality show to prove that you don't need to be physically ""perfect"" to be perfectly AWESOME.","Irene must endure 2 weeks of community service at a retirement home. Following her passion for cheerleading, she secretly signs up the senior residents to audition for a dance-themed ...",Comedy,tt5030452,90,lK48UxWuUho,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Dont-Talk-to-Irene-Movie-Poster.jpg,"Pat Mills","Pat Mills","Anastasia Phillips|Bruce Gray|Michelle McLeod"
"Blood Road",2017,"The mysteries surrounding her father's death in the Vietnam war lead ultra-endurance mountain biker Rebecca Rusch on an emotional journey as she pedals 1200 miles of the Ho Chi Minh trail.","The mysteries surrounding her father's death in the Vietnam war lead ultra-endurance mountain biker Rebecca Rusch on an emotional journey as she pedals 1200 miles of the Ho Chi Minh trail.",Documentary|History|Sport,tt6900092,96,XCzVqiN950M,6.9,https://hydramovies.com/wp-content/uploads/2018/04/Blood-Road-Movie-Poster.jpg,"Nicholas Schrunk","Mark Anders","Huyen Nguyen|Ian Adamson|Rebecca Rusch"
"Andre the Giant",2018,"A look at the life and career of professional wrestler André Roussimoff, who gained notoriety in the 1980s as Andre the Giant.","A look at the life and career of professional wrestler André Roussimoff, who gained notoriety in the 1980s as Andre the Giant.",Documentary,tt6543420,85,f_jTeuajas0,8.2,https://hydramovies.com/wp-content/uploads/2018/04/Andre-the-Giant-Movie-Poster.jpg,"Jason Hehir","Robin Wright","Cary Elwes"
"Dead on Arrival",2017,"A pharmaceutical sales rep visits a small town in Louisiana on business. He finds himself in a dark world of corruption and murder with 24 hours to live, running from the police, the mob and a sheriff that wants him dead.","A pharmaceutical sales rep visits a small town in Louisiana on business. He finds himself in a dark world of corruption and murder with 24 hours to live, running from the police, the mob and a sheriff that wants him dead.",Thriller,tt5903088,97,8jJ-kC-rq0Q,6.9,https://hydramovies.com/wp-content/uploads/2018/04/Dead-on-Arrival-Movie-Poster.jpg,"Stephen C. Sepher","Stephen C. Sepher","Christa B. Allen|D.B. Sweeney|Scottie Thompson"
"Big Time",2017,"Bjarke Ingels started out as a young man dreaming of creating cartoons. Now, he has been named ""one of architecture's biggest innovators"" by The Wall Street Journal and one of The 100 Most Influential People on the planet by TIME Magazine. BIG TIME follows Bjarke during the course of 7 years (2009-2016), while he struggles to finish his biggest project so far. We are let into Bjarke's creative processes as well as the endless compromises that his work entails, and we are on the side when his personal life starts putting pressure on him, too. In addition to the recently opened architectural marvel VIA 57 West (625 West 57th Street), Bjarke Ingels' company Bjarke Ingels Group (BIG) was given the task of designing and building one of the skyscrapers which will replace Two World Trade Center in Manhattan. While Bjarke is creating these buildings, which will change the New York skyline, he is hit by health-related issues. The Film offers an intimate look into the innovative and ambitious ...","BIG TIME follows Bjarke Ingels during the course of 7 years (2009-2016), while he struggles to finish his biggest project so far. We are let into Bjarke's creative processes as well as the endless compromises that his work entails.",Documentary,tt7630164,93,VK0mGdMKMW4,6.2,https://hydramovies.com/wp-content/uploads/2018/04/Big-Time-Movie-Poster.jpg,"Kaspar Astrup Schröder","Bjarke Ingels","Elisabet Ingels"
"Adventures in Babysitting",2016,"Two teen rival babysitters, Jenny and Lola, team up to hunt down one of their kids who accidentally runs away into the big city without any supervision.","Two teen rival babysitters, Jenny and Lola, team up to hunt down one of their kids who accidentally runs away into the big city without any supervision.",Adventure|Comedy|Family,tt4456850,105,BbTTXUMVTTU,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Adventures-in-Babysitting-Movie-Poster.jpg,"John Schultz","Tiffany Paulsen","Nikki Hahn|Sabrina Carpenter|Sofia Carson"
"Banana in a Nutshell",2005,"An intimate portrait of a Chinese-European couple in New Zealand, and their journey to get a blessing for marriage from traditional Chinese parents.","An intimate portrait of a Chinese-European couple in New Zealand, and their journey to get a blessing for marriage from traditional Chinese parents.",Documentary,tt1537196,0,6vgD78Z6ut4,6.6,https://hydramovies.com/wp-content/uploads/2018/04/Banana-in-a-Nutshell-Movie-Poster.jpg,"Roseanne Liang","Roseanne Liang",
Hostiles,2017,"In 1892, after nearly two decades of fighting the Cheyenne, the Apache, and the Comanche natives, the United States Cavalry Captain and war hero, Joseph Blocker, is ordered to escort the ailing Cheyenne chief, Yellow Hawk--his most despised enemy--to his ancestral home in Montana's Valley of the Bears. Nauseated with a baleful anger, Joseph's unwelcome final assignment in the feral American landscape is further complicated, when the widowed settler, Rosalie Quaid, is taken in by the band of soldiers, as aggressive packs of marauding Comanches who are still on the warpath, are thirsty for blood. In a territory crawling with hostiles, can the seasoned Captain do his duty one last time?","In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.",Adventure|Drama|Western,tt5478478,134,1M5cj4UmscE,7.3,https://hydramovies.com/wp-content/uploads/2018/04/Hostiles-Movie-Poster.jpg,"Scott Cooper","Scott Cooper","Ava Cooper|Rosamund Pike|Scott Shepherd"
"Maze Runner: The Death Cure",2018,"In the epic finale to The Maze Runner Saga, Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary last city, a WCKD controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get the answers to the questions the Gladers have been asking since they first arrived in the maze. Will Thomas and the crew make it out alive? Or will Ava Paige get her way?","Young hero Thomas embarks on a mission to find a cure for a deadly disease known as &quot;The Flare&quot;.",Action|Sci-Fi|Thriller,tt4500922,141,wnE_y4vN9nQ,6.5,https://hydramovies.com/wp-content/uploads/2018/04/Maze-Runner-The-Death-Cure-Movie-Poster.jpg,"Wes Ball","T.S. Nowlin","Dylan O'Brien|Kaya Scodelario|Ki Hong Lee"
"Den of Thieves",2018,"A gritty L.A crime saga which follows the intersecting and often personally connected lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank of downtown Los Angeles.","A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.",Action|Crime|Drama|Mystery|Thriller,tt1259528,140,FKd_ks0rdAM,7,https://hydramovies.com/wp-content/uploads/2018/04/Den-of-Thieves-Movie-Poster.jpg,"Christian Gudegast","Christian Gudegast","Gerard Butler|Pablo Schreiber"
V.I.P.,2017,"The son (Lee Jong-Suk) of a high-ranking North Korean official is suspected of committing serial murders around the world. To stop the killer, South Korea, North Korea and Interpol chase after him.","The son (Lee Jong-Suk) of a high-ranking North Korean official is suspected of committing serial murders around the world. To stop the killer, South Korea, North Korea and Interpol chase after him.",Action|Crime|Thriller,tt6413410,128,dwRkl2BjtGQ,6.4,https://hydramovies.com/wp-content/uploads/2018/04/V.I.P.-Movie-Poster.jpg,"Hoon-jung Park","Hoon-jung Park","Dong-Gun Jang|Jong-Suk Lee|Myung-Min Kim"
"Walk Hard: The Dewey Cox Story",2007,"The up-and-down-and-up-again story of musician Dewey Cox, whose songs would change a nation. On his rock 'n roll spiral, Cox sleeps with 411 women, marries three times, has 36 kids, stars in his own 70s TV show, collects friends ranging from Elvis to the Beatles to a chimp, and gets addicted to - and then kicks - every drug known to man; but despite it all, Cox grows into a national icon and eventually earns the love of a good woman - longtime backup singer Darlene.","Singer Dewey Cox overcomes adversity to become a musical legend.",Comedy|Music,tt0841046,96,4yzjtnj8Y3U,6.8,https://hydramovies.com/wp-content/uploads/2018/04/Walk-Hard-The-Dewey-Cox-Story-Movie-Poster.jpg,"Jake Kasdan","Judd Apatow","David Krumholtz|Jenna Fischer|John C. Reilly"
"Freaky Friday",2003,"The wide generation gap between Tess Coleman and her teenage daughter Anna is more than evident. They simply cannot understand each other's preferences. On a Thursday night they have a big argument in a Chinese restaurant. Both receive a fortune cookie each from the restaurant owner's mother which causes them to switch bodies next day. As they adjust with their new personalities, they begin to understand each other more and eventually it's the mutual self-respect that sorts the things out.","An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.",Comedy|Family|Fantasy|Music|Romance,tt0322330,97,obOyYTto5Sg,6.2,https://hydramovies.com/wp-content/uploads/2018/04/Freaky-Friday-Movie-Poster.jpg,"Mark Waters","Mary Rodgers","Jamie Lee Curtis|Lindsay Lohan"
"Perfect Strangers",2017,"In the same night that happens a blood red moon, some longtime friends reunite to dinner: the group is formed by plastic surgeon Alfonso and his wife, psychologist Eva, who are the hosts of the dinner; lawyers Antonio and his wife Ana; taxi driver Eduardo and his young and recent wife, veterinary Blanca; and finally Pepe, a former gym teacher actually unemployed, who surprisingly appears without Lucía, his recent girlfriend. Motivated by Blanca, who have some suspects about the group by the behaviors of some of them, she proposes a game where all diners leave their cell phones on the table, at the condition to say to everyone the contents of all text and voice messages. Starting like an innocent game, the progressive revelation of secrets as they appear cause a series the events each time more dramatics: Alfonso suspects that Eva has an affair, Ana thinks wrongly that Antonio is homosexual, Blanca realizes a horrible side about her marriage with Eduardo, and Pepe tries to keep hidden ...","Seven friends gather for dinner and decide to play a game in which all incoming messages and calls will be on display for the entire group, leading to a series of revelations that gradually unravels their 'normal' lives.",Comedy,tt6101820,97,-lOUnBsjGuY,7,https://hydramovies.com/wp-content/uploads/2018/04/Perfect-Strangers-Movie-Poster.jpg,"Álex de la Iglesia","Álex de la Iglesia","Belén Rueda|Eduard Fernández"
Paterno,2018,"The film centers on Joe Paterno, who, after becoming the winningest coach in college football history, is embroiled in Penn State's Jerry Sandusky sexual abuse scandal, challenging his legacy and forcing him to face questions of institutional failure regarding the victims.","The film centers on Joe Paterno, who after becoming the most successful coach in college football history, is embroiled in Penn State's Jerry Sandusky sexual abuse scandal, challenging his ...",Biography|Drama,tt2388986,105,scI7dYdlzuY,6.6,https://hydramovies.com/wp-content/uploads/2018/04/Paterno-Movie-Poster.jpg,"Barry Levinson","Debora Cahn","Al Pacino|Kathy Baker|Kenneth Maharaj"
"Shirley: Visions of Reality",2013,"13 of Edward Hopper's paintings are brought alive by the film, telling the story of a woman, whose thoughts, emotions and contemplations let us observe an era in American history. Shirley is a woman in America in the 1930s, '40s, '50s, and early '60s. A woman who would like to influence the course of history with her professional and socio political involvement.","13 of Edward Hopper's paintings are brought alive by the film, telling the story of a woman, whose thoughts, emotions and contemplations let us observe an era in American history. Shirley ...",Documentary,tt2636806,92,rcQ4JKxxukY,6.5,https://hydramovies.com/wp-content/uploads/2018/04/Shirley-Visions-of-Reality-Movie-Poster.jpg,"Gustav Deutsch","Gustav Deutsch","Christoph Bach|Florentín Groll|Stephanie Cumming"
"5 Centimeters Per Second",2007,"Takaki and Akari are two classmates in elementary school. During their time together they have become close friends. Their relationship is tested when Akari moves to another city because of her parents' jobs. Both of them struggle to keep their friendship alive, as time and distance slowly pulls them apart. When Takaki finds out that he is moving further away, he decides to visit Akari one last time.","Told in three interconnected segments, we follow a young man named Takaki through his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love.",Animation|Drama|Romance,tt0983213,63,SzAO_NeCmkM,7.7,https://hydramovies.com/wp-content/uploads/2018/04/5-Centimeters-Per-Second-Movie-Poster.jpg,"Makoto Shinkai","Makoto Shinkai","Kenji Mizuhashi|Yoshimi Kondou"
"Faces Places",2017,"Agnes Varda, one of the leading lights of France's honored French New Wave cinema era, and professional photographer and muralist, J.R., partake on a special art project. Together, they travel around France in a special box truck equipped as a portable photo booth and traveling printing facility as they take photographs of people around the country. With that inspiration, they also create special colossal mural pictures of individuals, communities and places they want to honor and celebrate. Along the way, the old cinematic veteran and the young artistic idealist enjoy an odd friendship as they chat and explore their views on the world as only they can.","Director Agnes Varda and photographer/muralist J.R. journey through rural France and form an unlikely friendship.",Documentary,tt5598102,89,2rKZcAiLHlY,8,https://hydramovies.com/wp-content/uploads/2018/04/Faces-Places-Movie-Poster.jpg,JR,JR,"Agnès Varda|Jeannine Carpentier|JR"
"The Post",2017,"When American military analyst, Daniel Ellsberg, realizes to his disgust the depths of the US government's deceptions about the futility of the Vietnam War, he takes action by copying top-secret documents that would become the Pentagon Papers. Later, Washington Post owner, Kay Graham, is still adjusting to taking over her late husband's business when editor Ben Bradlee discovers the New York Times has scooped them with an explosive expose on those papers. Determined to compete, Post reporters find Ellsberg himself and a complete copy of those papers. However, the Post's plans to publish their findings are put in jeopardy with a Federal restraining order that could get them all indicted for Contempt. Now, Kay Graham must decide whether to back down for the safety of her paper or publish and fight for the Freedom of the Press. In doing so, Graham and her staff join a fight that would have America's democratic ideals in the balance.","A cover-up that spanned four U.S. Presidents pushed the country's first female newspaper publisher and a hard-driving editor to join an unprecedented battle between the press and the government.",Biography|Drama|History|Thriller,tt6294822,116,nrXlY6gzTTM,7.2,https://hydramovies.com/wp-content/uploads/2018/04/The-Post-Movie-Poster.jpg,"Steven Spielberg","Liz Hannah","Meryl Streep|Sarah Paulson|Tom Hanks"
"The Anthem of the Heart",2017,"Takumi is on his class' community outreach group. His teacher assigns more students to the group including a student who, due to a mishap, has foregone speaking. The class has to perform a musical, but volunteers brave enough to perform are hard to come by. The reluctance slowly begins to wash away when the aforementioned girl makes an effort to perform. As the day of the performance approaches will the students be able to overcome their reluctance and go for it?","Takumi is on his class' community outreach group. His teacher assigns more students to the group including a student who, due to a mishap, has foregone speaking. The class has to perform a ...",Drama|Family,tt6738046,119,EnbgMjdguxI,6.2,https://hydramovies.com/wp-content/uploads/2018/04/The-Anthem-of-the-Heart-Movie-Poster.jpg,"Naoto Kumazawa","Yukiko Manabe","Anna Ishii|Tsunaki Fukushima|Yoshiyoshi Arakawa"
"My Teacher",2017,"Hibiki is an awkward, 17-year-old high school sophomore who hasn't known romance. But she's about to fall in love for the very first time. With whom? A man who isn't great with words, but compassionate about his students. It's her history teacher, Mr. Ito. ""Is it okay if I fall for you?"" Hibiki asks. ""I'm afraid I can't return those feelings,"" is Ito's reply. Hibiki's first love crashes before takeoff. But it doesn't matter. ""Still I want to cherish my crush anyway."" A teacher's heart begins to turn by a student's pure love.","Hibiki is an awkward, 17-year-old high school sophomore who hasn't known romance. But she's about to fall in love for the very first time. With whom? A man who isn't great with words, but ...",Drama|Romance,tt6190198,113,HpYqkdn2ilU,6,https://hydramovies.com/wp-content/uploads/2018/04/My-Teacher-Movie-Poster.jpg,"Takahiro Miki","Kazune Kawahara","Manami Higa|Suzu Hirose|Tôma Ikuta"
"You Were Never Really Here",2017,"Balancing between feverish dreamlike hallucinations of a tormented past and a grim disoriented reality, the grizzled Joe--a traumatised Gulf War veteran and now an unflinching hired gun who lives with his frail elderly mother--has just finished successfully yet another job. With an infernal reputation of being a brutal man of results, the specialised in recovering missing teens enforcer will embark on a blood-drenched rescue mission, when Nina, the innocent 13-year-old daughter of an ambitious New York senator, never returns home. But amidst half-baked leads and a desperate desire to shake off his shoulders the heavy burden of a personal hell, Joe's frenzied plummet into the depths of Tartarus is inevitable, and every step Joe takes to flee the pain, brings him closer to the horrors of insanity. In the end, what is real, and what is a dream? Can there be a new chapter in Joe's life when he keeps running around in circles?","A traumatized veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, Joe's nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",Drama|Mystery|Thriller,tt5742374,89,yMqsd7Umxy8,7.1,https://hydramovies.com/wp-content/uploads/2018/04/You-Were-Never-Really-Here-Movie-Poster.jpg,"Lynne Ramsay","Lynne Ramsay","Ekaterina Samsonov|Joaquin Phoenix|Judith Roberts"
